id,host name,price per night
57236806,Vida,1080
22959636,Ava,2400
42355633,David,370
30417073,Lindsay,262
28024557,Veronica Gallardo,464
54002962,Adriana,2354
4887842,Sen,1984
36538888,Sean,214
50675650,Ronald,910
36716417,Lauro,2032
51744636,Henry,1048
45150948,Laura,984
40452681,Peter,828
55251594,Viviana,1506
4614338,Eli,324
56830069,Jenita,1008
11751758,Yaacov,260
36749129,Juan,1350
54492536,Peter,1516
15802467,Natalia,1504
29303930,Carla,2348
31786387,Nour,1764
57297148,Dustin,1272
18705914,Jeff,878
33709007,Natalie,1972
30345681,Alex,1278
7712793,Andrew,500
27166660,David,1470
5839754,Sissy,862
51278995,Iris,424
18209542,David,278
7253867,Mamun,1936
47928923,Shirley,2080
21883974,Lana,1596
43786622,Iza,1848
9196113,Bobby,1162
26503860,M David,1318
20839441,Zhoe,710
52682084,Ute,1498
28634276,Chayla,1016
42381813,美德,1370
32465581,Edward,1268
39265531,Zahir,218
7057022,Winston,1296
29469789,"Todd, Ashta",1852
21444820,Marc,1420
48901778,"Charlie, Selena",2038
47975560,Cynthia,1938
45262344,George,1582
40301333,Jack,932
18688523,Jeremy,1222
11833011,Jordan,1216
19125202,Gal,304
43458314,Melissa,358
43657068,James,1700
1569133,Adrianne,384
35694399,Nadine,1612
21052429,Sarahya,2200
16376913,Barrie,452
34934870,Lenissima,1618
40450909,Vanessa,1512
44929097,Clayton,1510
18819786,Kimberlee,1672
45531464,Alanna,1594
2402607,Maura,1134
36088245,Elisha,1496
14398899,Mifan,1444
1668728,Joonas,674
10384874,Brian,222
10575157,Jack,736
3279850,Luca,428
8835379,Josephine,300
26687523,Michael,866
36332409,Leonard,2090
41478996,Katie Graham,2306
24785087,Joann,2344
36164776,CRNY Monthly Rentals,1594
50855960,Jocelyn,2132
24468194,Zoey,1492
45663539,Hutch,118
26009320,Sunshine,784
51417486,Amanda,1812
19345674,Mark,876
48062175,Stacy,728
20203950,Carlota,250
53858095,Helena,2124
2543988,Ana Maria,256
14819993,Guadalupe,932
33667925,Cory,1786
21906176,Marie,1226
54325640,Chantelle,2260
30645805,Lucy,1880
42477788,Krzysztof,714
9679181,Annie,788
41576735,Lyuda,1902
13159415,Matan,1320
27054783,Andrey,204
37528254,Tanya,2148
51760092,Pamela,242
14589273,Bianca,1118
5795247,Israel,2216
52975383,Javier,1472
40759314,Sonder NYC,658
39052283,Cici,1880
35565281,Assaf,978
20987751,Guelma,1898
31650690,Jocelyne,2168
6073309,Amy,368
36959734,Anting,1394
26118531,Baboucarr,1444
49786758,Eric,2114
25261409,Enid,2336
22194302,Reina,1482
34034680,Malik,2158
30741838,Laura,770
48679807,"Jeff, Elita",848
27273257,Lyshaan,484
27041687,Petr,2046
9452701,"Jess, Ana",506
9848626,Titus,220
56867173,Michelle,682
29422381,Rebeca,1786
4732259,Sonder NYC,1290
44689684,Meng,1422
50998650,Bella,1518
25772890,Yaacov,2284
45452650,Alana,1232
5055148,Hadas,166
13218741,Felicity,1842
49078860,Brenton,2178
53379235,Derek,2034
40204274,Tangier,246
20346302,Yan,1932
38447161,Liron,1624
46631416,David,1006
35371854,Rick,2244
29400964,Chase,2384
17799003,Michael,754
46530292,Seana,452
43982386,Sonder NYC,2110
5443969,Gabriel,716
44002815,Matilde,596
45805024,Andrea,1852
52568685,Magdalena,786
29289988,Jennifer,1614
27462378,John,820
52176715,Joyce,1432
32615404,Sophia,1922
7040384,Rasheeda,1818
40548363,Timothy,1562
6096366,Yul,424
23231431,Steven,244
27893947,Saiful,880
45112721,Charles,1244
40395244,Heena,646
14679611,Ryan,1734
56420787,Antonia,2370
35609424,Natasha,1522
48858420,Byron,812
20953307,Simon,454
4204605,"Lillybeth, Crystal",1682
47536791,Eada,1552
48825489,"Jim, Lisa",2172
22530296,Fran,376
55722724,"J.D., Stephanie",1270
2871866,Allan,574
38887275,Ken,522
27171809,Joseph,1360
13160639,Vee,1588
31299667,Jennifer,494
51183358,Emanuel,1712
39293333,Owen,264
45791934,Melissa,1664
35679423,Sabine,674
53814296,Joanne,296
27091191,Sinaly,910
49764296,Alberto,1104
27699298,Peter,2166
29560588,Lisa,1626
47475462,AFI Apartments,396
7905556,Lucas,2326
39710028,Stefy,2194
33437727,Lina,922
14425817,Fay,2366
40000878,Ivia,600
38566323,Mar,1342
39925457,Sarah,1856
49390686,Nevine,2294
5198045,Matthew,1888
55598886,Shannon,2242
9951362,Allan,1292
24546332,Chris,2334
20406454,Suzette,2132
56956579,Kristen,1462
29483659,Barbara,2400
29812583,"Emanuel, Orion",200
32359649,Sami,1052
36947677,Estie,486
44228552,Jean,1680
37943009,Betsy,1574
23421875,Gill,1362
35923803,Ian,1682
43374845,"Renata, Howard",1678
8004242,Paula,994
55686000,Agus,260
18958783,Amo,2260
51539748,John,676
50674909,Collin,686
17681535,Wendell,1144
52883993,Jonathan,1402
56024166,Sam,244
40508427,Victor,2194
3246793,Nataliya,1946
24195514,Liberty,1070
36702634,Axel,1282
24070684,Anna,950
49910448,Victoria,1008
56615572,Luc,1958
12414169,Paul,2024
11570504,David,1608
18798188,Humberto,1394
10459534,Taylor,670
15478580,Jing,154
28491434,Jason,234
11923230,正川,408
38171920,Ral,1812
18176288,Alosha,1270
31457139,Greg,360
11396073,Linda,1290
55626896,Devi,934
23621534,Lidia,2058
6090013,Cesar,1216
31658622,Natasha,1944
14639732,Kate,296
43603677,Morgan,508
33474077,Sharon,544
50295828,Danielle,1140
36307544,Ha,2068
21503423,"Leah, Reed",914
8268230,Carlos Ivan,1080
31178692,Crispy,206
35267372,Elena,1684
45834353,Jessica,1254
13793487,Sebastian,1348
24199333,Xavier,1244
27308185,Nicole,2274
20284351,Steven,1890
2305965,Tanya,670
47616399,Grace,2260
18863042,Artie,2230
54290673,Thomas,966
40477020,Henry,1392
52603673,Paola,2068
52402267,B.,1042
10582309,Sarah,2238
36892292,Julia,1374
50298047,Dadrine,1774
33512968,Wynpoints,954
5360688,Sarah,1052
23529750,Ollie,952
28607104,Alvin,106
54040946,Freehand,1402
53630175,Diane,768
44167937,Halima,2260
15555204,Sonder,2082
6552374,Mimi,1438
39077531,Lee,1716
45041814,Mrs. Alabi,1142
10356839,Miranda,1114
46564388,Molly,844
2507319,Yaacov,2230
36502004,Dani,1454
46286497,JoAnn,1838
46880112,Natalia,1524
44110915,Yonette,880
40320739,"Chito, Xavier",292
5717833,Natalia,1068
53789925,Evelyn,1550
3444927,Vin,214
36124335,Gal,1708
49584363,Alex,906
49722987,Ellie,1036
18443892,Latoya,1418
56525209,Julia,2154
36461109,Calvin,718
13813161,Phyllis,210
36432252,Charles,1478
31316560,Laura,2340
17242541,Ines,1112
31159500,Andrea,586
15393847,"Jeffrey, Casandra",782
6073781,Sasan,184
17638365,Regina,1284
32002220,Jeremy,982
27603302,Homero,658
35531455,Rogers,1982
9718991,Ann,122
7687217,Alfred,904
44767972,Maraliz,448
20821918,Dine,2074
4050172,Kori,686
14547626,Jose,1474
55133761,Arthouse Hotel,1840
32697612,Reynaldo,2322
18112463,Parnell,334
7866246,Christina,700
48804148,Ava,200
1966245,Mercedes,1992
18373298,C.D.,2324
15916086,John,430
42846824,Anh,2062
43811778,Emil,2268
35468675,David,954
29214179,"Andy, Friends",2086
20586323,Charlotte,1082
45525691,Kusang,2304
29553053,Danielle,516
8020274,Sarah,2136
55029566,Melissa,1744
31291885,Kdn,1812
20965217,Xris,1714
12378684,Jamiel,2066
21960777,Reed,936
22465325,Greg,1574
36521277,Shama,388
33196105,Michi,854
28038028,Amarjit S,724
10528474,Jeanine,110
41193924,Paul,1510
29175240,David,980
39708478,David,1060
25098161,Stanley,1384
10840905,Gerta,2258
27974687,Cebile,300
42875012,Rosalia,1288
54719250,Nutrice,1146
54812924,Jim,540
33786243,Charles,2160
53463205,Jordana,554
3667367,Tommy,1972
19306826,Rayna,434
2724807,Dani,1150
35005053,Ryan,252
39874286,Jade,2378
34416140,Cinthya,1714
56298619,"Aaron, Ivy",570
23372544,Mariano,966
41386424,Aswad,146
52857461,Irina,1116
55125157,Alan,558
19159791,Eka,2218
27683305,Linna,830
55337174,Paulina,516
47774957,Lori,600
17478418,Michelle,192
28472781,Jane,2110
26673476,Stephanie,448
4453146,Sebastian,1358
54627039,Martín,1796
22286126,Esteban,2036
2962991,Qingming,2150
49700036,Shea,1938
41425903,Isik,740
43690079,Rae,770
39541370,Avi,2048
1733816,Shane,2284
11703639,Chandtisse,1222
38479922,Howard,2134
5658981,Gena,1784
10952969,Jasmine,1886
20250269,Roman,1538
35712050,"Dee Daisy, Peter",1440
21929919,Jasna,2132
44103809,"Yi, Chen",1700
3101801,Caroline,2290
46685911,Brandon,844
5558690,Kate,144
52699247,Steve,1188
45188496,Victoria,2112
14301882,"Kevin, Karen",952
35676465,Michon,1282
46063083,Genny,1602
27202670,Brown,1384
1618846,Dominique,326
52268174,Gregory,1528
30487523,Jackie,466
36608723,Pete,1160
54102977,Sally,2242
39727897,Felipe,200
25031895,Timothy,1292
56392188,Raj,448
51678783,Monica,1246
55898593,Meredith,2142
1355545,Mimie,1586
15014696,Jeremy,1510
36598805,Carlos,958
21462022,Alan,1194
44697894,Kim,2234
23806653,Bryan,1080
27173895,David,1744
16339138,Emma,1162
21386297,Axel,1212
12688892,Liqin,2012
48058674,Liliana,2112
32016298,Moses,2272
27663825,Ki,1328
38587385,Richard,518
8728204,Alicia,2198
2607898,Cristiano,2176
12315741,Joo,2016
2979754,David,1328
9230669,"Joel, Marie",124
11872838,David,2052
9902672,Britta,304
15062020,Mila,450
19140425,Taylor,194
23027056,Saleem,1598
31638921,Tyrone,1524
57048474,Muath,472
26082363,Hawkins,1288
23188056,Toby,222
20275865,Funda,1438
29010505,Evan,1170
19111303,Konni,2186
38302463,Jordania,1488
21251660,Alessandro,1832
52069184,Gh,114
25469061,Brandon,1252
17385176,Jamiel,470
50626490,Charlene,976
53805364,Liberty,2274
39049771,Gaia,548
45293101,Hana,350
48509388,Camille,1822
25532537,Suzanne,1342
23554695,Ki,2198
47199317,Cody,712
14281048,"Hurriyet Aydın,",1168
38325943,Alex,326
44628073,Masoud,952
20987289,Daniele,2340
55506664,Chialing,334
28610710,Larysa,990
21018941,Petar,2328
12978288,Isai Jesse,1054
4366843,Yosef,126
30752886,James,2034
46556473,Jimmy,184
41297382,Esteban,2218
30768716,Brendan,1188
50125439,Hannah,1696
27826460,Kathleen,770
37467050,Julian,180
5865657,Jennifer,1924
51886604,Elena,286
30422816,Rossana,660
13177241,S.A.,854
32804496,Robert,1374
16560740,Raquel,536
5909750,Walter,1206
41857766,Laura,996
4574270,Carrie,1136
12863009,April,134
13852532,Judith,912
50166741,Izumi,1504
11087405,Maria,1332
10182348,Felicia,344
26453796,David,2236
48494154,Yun,682
32915714,Steven,2218
33713963,Erica,2224
55621008,David,1000
11561214,Eric,1562
30458860,Alex,106
15314162,Anita,1686
55496523,Jesse,684
20967935,Valerie,1042
42488430,Steve,240
38735533,Patricia,2054
17789969,Michael,672
26742989,Nancy,928
15847785,Paul,2138
24193588,Irina,1052
35956567,Anatha Angèle,1118
52089921,Sahar,1312
33445618,Carol,618
15434511,Rita,940
12281325,Talita,2044
33944429,Felix,492
44074427,Will,392
17434913,Lauren,1748
51725556,Seyoum,1296
28297776,Aaron,874
42292860,Aaron,792
15343257,Toby Steven,978
36871889,David,2250
10245070,Dine,2036
12754622,Alex,710
43608642,Lisa,170
1148480,Kay,1442
39695456,"Jessy, Christian",260
45263982,Laurie,900
56055832,Rory,1682
28901099,Anthony,1866
38242731,Katie Rose,484
33370222,Charles,1038
10888453,Amira,934
20462272,Dedy,2266
2053861,J,1736
3411818,Christina,440
20354641,Riley,1114
47607098,Safa,538
54661099,Jason,232
9358916,Levi,394
21861875,Taz,1770
43205385,Elissa,162
23766607,Jean,2276
10483293,Ketia,2288
38308090,Ismael,696
39663073,Lauren,112
28043886,Mark,206
46021562,Velma,998
4950831,Sasha,964
28317214,Yaacov,1394
5989942,SamariSankofa,320
42661374,Tim,1346
9514867,Osa,1306
5469801,Yahaira,394
55095208,Cadet,2008
19562769,Kevin4,1258
45917386,"Wesly, Jessica",1136
27947259,"Michelle, Eddie",1990
34134893,Rene,2314
21713827,Julia,904
20009483,Kurtis,950
54669057,Carolyn,1686
11322602,"Laura, John",426
18587602,Tim,176
46416030,Andy,1786
24262949,Clare,610
53374086,Susan,412
25594070,Sidiq,2124
24299877,David,1708
27472324,Yvonne,2238
54393791,Jermaine,1936
2739708,Natalie,488
14163171,Manuel,1304
14479912,Swati,1210
22060721,Christopher,556
14049757,Sandrine,1312
49546702,"Evan, Maria",498
41076323,Natalie,942
16558238,Monique,818
50905158,Devony,480
36284072,Netanya,2164
3702237,Daan,194
30295291,Christina,2112
1915608,Vie,1270
56085862,Natalie,1096
32849154,Razia,1086
6098695,Jas,1034
12376494,Bojana,1990
41002434,Carlton,186
56612138,Brock,544
31474389,Krzysztof,1940
39697811,Karilyn,1894
8445454,Adria,386
2840379,Melissa,1974
55765995,Azure,1060
6906828,Candace,338
3218226,Jacob,1490
23017822,David,2070
12216585,Mila,1208
55581494,Emily,228
1260280,Hua,2186
22881706,Chelsea,920
44857473,Sarah,2360
28957129,Kane,1368
5059538,Rasmus,606
10291009,Eka,1652
14592927,Tim,350
11841885,Jackie,636
15867119,Craig,466
26303289,Susan,1256
26615534,Mike,784
9009671,Weihao,948
54509944,Sam,516
14252866,Daniel,1328
54455327,Charles,1652
39617152,Glenn,2266
26889924,Gabi,308
52643629,Ariel,1616
17910537,Stanley,100
29499051,Pamela,1068
56763191,Raymond,498
55455836,Morgan,1902
45672418,Anna,1532
43223249,Alexa,872
24267683,Miriam,1746
52401324,Quisqueya,1602
35258862,Jasmine,1504
51472302,"Ben, Jess",1622
4826832,Athena,2198
8263764,Maria,1144
1068687,Kit,2190
55859285,Lara,1166
31758102,Natalie,1344
31506237,Simona,1418
54360633,Emory,1770
28753252,Ania,1550
46006815,Aaron,568
54496220,Charles,118
27849399,Victor,922
26709813,Yoav,484
4410592,Tracie,416
21706293,Ari,128
18650346,Sonder NYC,1010
25666225,Anthony,308
2755089,Rem,566
7288471,Ben,1674
12931172,Josh+Emily,670
40959996,Cinthia,354
40798387,Madelyn,1300
25222973,Chris,2226
49443672,Desmond,2136
53441334,David,2306
41894043,Brandon,394
46300467,Joseph,676
25985700,S,112
25254807,Breath Beyond,1076
19702255,Fred,1968
17257775,"Hurriyet Aydın,",950
25297396,Siji,1492
49442452,Hypha,1906
32717533,Armando,2232
39355217,"Andrew, Stine",434
50524723,Marielle,950
40231563,Jake,1406
25138820,Martita,1216
7413503,John,526
24645889,Jason,508
13313591,Monica,1254
23517413,Andrés,388
37721394,Marie,774
25562251,Chantelle,1594
39890271,David,2048
40689102,Colin,168
11190941,Jay,998
18926044,Carol Gloria,1178
24549724,Izi,1902
49942963,Jason,1594
31396067,S. N,160
29285881,Jean Victor,1380
9211966,Ingrid,2226
27018911,Terrie,612
48135203,Charles,1846
40087553,Anthony,2072
34604691,Francis,2356
28405129,Sarah,1762
36178031,John,2116
2833098,John,1316
39127449,Christina,1712
17129713,Marina,1306
37640551,Sandy,2162
20902810,Sara,1224
44874737,Carolyn,178
26915519,Zach,660
32190614,"Michelle, Evelyn",1646
15035639,Susan,384
5385938,Lucy,810
5385787,Kaptan,2046
53529578,Adam,338
36509086,Chioma,1696
31239682,Jourdain,198
18058578,Diana,796
22689014,Chad,512
3175385,David,1416
38611386,Chelsea,2012
3702823,Amy,1308
56764369,Joana,2076
22142885,Musieka,2252
50047608,David,636
3441899,Cherie,1414
46465829,"Laverne, David",464
21858418,Nicholas,1312
1061920,Angela,2262
32278922,Myles,380
43326455,Jodi,1366
5792231,Ros,754
53866116,J,1724
21452515,Anthony,678
14316874,Claudia,338
10136382,Harry,424
33980480,Tarin,1882
49454155,Samuel,300
20829655,ResortShare5,1060
2203548,Corporate Housing,1680
40139973,Mollie,1656
53748313,Sophie,1826
23552364,Dieudonne,1888
34261167,Stephanie,1886
13902296,Chandler,2082
47642378,Amanda,1564
33832811,Maritza,1288
54593366,Cole,1602
13900490,Gladys,206
17849102,Gabriela,422
37034468,Mark,1222
51655336,Daljit,2134
22471558,"Steven, Jon",266
32286895,Ritchy,2066
4204583,Philip,2006
12338561,Christina,2002
14556904,Lili,120
16593770,"Jess, Hagan",1652
38076401,Ira,1536
8850859,K,1186
14871609,Natalie,110
34234347,Lauren,546
21095604,Eden,678
13302016,Bryan,422
5986317,Nanie,1674
15970001,Glasshouse,1690
52982311,Bryan,2112
38723085,Luke,568
14646177,Qusuquzah,1864
37420887,Jane Anne,1696
14615360,Walid,1500
11018862,Trevor,204
54757058,Ociel,178
48829272,Janet,1610
31343508,Camila,2116
56178043,Conny,1746
15351386,Imran,1536
11793817,Mark,638
26662248,"David, Annette",1604
43837516,"Anamaria, Ricardo",1356
47167081,Cici,1368
46472125,Abbie,852
10890935,Christina,2224
41930266,Kate,728
20501118,Amber,802
11296865,"Jeremy, Laura",2198
39335999,Tricia,1026
34044087,Arthur,316
35644550,Ema,2072
28444303,Renat,1432
30681055,Fotini,124
20354244,Beatriz,1114
36379574,Tangier,636
42763496,Camilo,2186
44305695,Todd,250
47835526,"Dee Daisy, Peter",1160
2881549,Carlos,952
15416353,Matan,2214
26073410,"Ken, Andy",1322
36938576,Reed,426
30055089,Mercedes,1926
9638428,Anchor,2356
29212310,Meng,220
5640528,Abraham,714
4594123,Laura,156
18470738,Tanya,1844
54614986,Sofia,1536
19442356,Mich,1894
5788905,Christos,2112
18488646,Aj,2214
48396168,Wendy,536
11430499,Corey,384
22615357,ResortShare5,1902
47305115,"Maytal, Ken",2390
13638606,Ikkyukim,700
16680410,Xavier,1614
20809875,Charles,1836
31714088,Augie,742
12222378,Rhonda,2034
29040867,Michael,1184
9534982,Masahiro,862
56943081,Gerry,1794
28543834,David,928
49711925,Anna,1524
11543534,Maryse,1484
42016769,Michi,380
55464695,Fernando,1282
50862096,Diane,896
54581790,Katie Graham,1530
17331293,John,308
19369112,Brian,1830
21632218,Shahar,2094
28793098,Rachel,950
26486610,Andrew,2310
18515049,Zichen,2084
5860095,Valentin,2310
35584310,Luis,1806
50478633,Ana,228
