id rent,area,service fee
25554385,Harlem,188
22355463,Bedford-Stuyvesant,169
4407370,West Village,190
3411021,Upper West Side,54
46823458,Brighton Beach,223
12956974,Crown Heights,167
17979038,Washington Heights,132
53868597,Upper East Side,44
48642182,Long Island City,30
9594572,Upper West Side,238
9201886,East Harlem,11
18678802,St. Albans,32
7046260,Washington Heights,11
2692479,Williamsburg,149
5674346,Bedford-Stuyvesant,50
19021780,East Flatbush,99
50687349,Cypress Hills,25
15883612,Hell's Kitchen,25
7224100,Midtown,123
52655746,Midtown,141
24814303,Carroll Gardens,222
8286173,Crown Heights,95
26502684,Fort Greene,67
55463087,Washington Heights,99
24195727,Financial District,61
24982202,East Harlem,16
12723904,South Slope,19
1402858,Upper East Side,181
47033884,East Elmhurst,128
10767657,Bedford-Stuyvesant,93
3569531,Kips Bay,227
51266711,Fordham,103
48134618,Harlem,16
47386252,Greenpoint,84
56894096,Bedford-Stuyvesant,62
6761825,Prospect-Lefferts Gardens,81
26740725,Bedford-Stuyvesant,48
6387918,Crown Heights,211
43371031,Prospect-Lefferts Gardens,15
47692778,Bushwick,17
56574314,East Harlem,83
13942830,Bushwick,144
7605187,Greenpoint,41
2810671,East Village,139
52387328,Woodside,238
46870956,Prospect-Lefferts Gardens,41
2785265,Bedford-Stuyvesant,190
42952387,Flatbush,25
20567116,Chelsea,217
49846748,Bedford-Stuyvesant,216
18084527,Crown Heights,215
8078508,Crown Heights,60
21768368,East Harlem,40
8754523,Crown Heights,122
7172184,Washington Heights,65
45600113,Sunnyside,191
21767264,Hell's Kitchen,88
54434704,Bedford-Stuyvesant,232
5110448,Midtown,162
21260805,Flushing,192
24835843,Bedford-Stuyvesant,22
8570055,Flatbush,183
10182219,Prospect Heights,153
43840486,Harlem,42
25432879,Upper East Side,36
42904889,Williamsburg,161
56729511,Rego Park,215
3181816,Greenpoint,187
9613902,Midtown,37
14864618,Bedford-Stuyvesant,85
20601911,Bedford-Stuyvesant,129
20329627,Williamsburg,82
6147667,Jamaica,131
7754308,Carroll Gardens,138
13299952,Williamsburg,30
14207934,University Heights,86
20461627,Crown Heights,71
7368250,Cobble Hill,53
43357775,Bedford-Stuyvesant,46
1393469,Financial District,97
6127232,Harlem,87
24882788,Harlem,133
24511090,East Harlem,231
18641246,Jamaica,118
23243562,Chinatown,74
9020732,Kips Bay,26
21509892,Bay Ridge,33
3767254,Washington Heights,68
2399760,SoHo,35
13959951,Bushwick,48
54033182,Williamsburg,111
23036449,Chinatown,201
24700529,Hell's Kitchen,92
20743300,Jamaica,48
51600301,South Slope,158
3913062,Bushwick,93
56726749,Inwood,229
20577057,Bedford-Stuyvesant,117
51518008,Far Rockaway,156
3320996,Harlem,44
8507645,Greenpoint,205
14924819,Jamaica,84
56024224,Upper West Side,210
12450515,Fieldston,162
53868044,East Flatbush,29
25116963,Kips Bay,108
26331471,East Village,190
12823870,Upper East Side,226
56461645,Williamsburg,199
17036814,Upper East Side,163
52317186,Washington Heights,104
13687667,Stapleton,71
26218249,Gramercy,207
3079641,Sunnyside,114
21406612,Upper East Side,31
6856821,Lower East Side,193
16595527,Arverne,39
49473946,Chelsea,87
18172343,Financial District,80
3472326,Upper East Side,229
25602435,NoHo,177
48400827,Upper West Side,76
27459820,Williamsburg,35
9649249,East Elmhurst,145
16943476,Upper East Side,28
10911255,Chelsea,87
55063774,Upper West Side,129
50121241,Jamaica,234
7544434,Prospect-Lefferts Gardens,141
24702738,Crown Heights,202
11462450,Sunnyside,77
11281296,Williamsburg,47
1774556,Harlem,205
17135676,Long Island City,210
8026040,Williamsburg,186
3968292,East Harlem,107
20760973,Ditmars Steinway,145
10421917,Lower East Side,152
54071843,Crown Heights,238
7273255,Crown Heights,82
1294607,Sunnyside,35
47614904,Harlem,208
6390127,Midwood,218
44324853,Chinatown,92
2105936,Prospect-Lefferts Gardens,137
49217678,Harlem,98
43289290,Sunnyside,96
24110673,Sunnyside,138
9279208,SoHo,190
6612704,Bushwick,192
24711575,Hell's Kitchen,39
8724699,Woodside,196
57000690,Hell's Kitchen,11
25705163,Bushwick,97
19711603,Williamsburg,97
52365236,Lower East Side,92
1799410,Prospect Heights,188
17210236,Stapleton,111
11860106,Bushwick,225
51944383,Midtown,68
53178774,Washington Heights,92
49318197,Upper West Side,110
8597118,Upper West Side,231
23270072,Cypress Hills,107
21544687,Queens Village,136
18868241,Sheepshead Bay,88
3001214,Harlem,56
43401959,Midtown,144
49072976,Midtown,97
13180656,Brighton Beach,134
2441182,Midtown,192
48282634,Crown Heights,79
6018429,Upper West Side,112
13433609,West Village,114
26692675,East Elmhurst,188
5620773,East Harlem,219
9739827,Morningside Heights,159
24580128,Financial District,186
9659191,Williamsburg,81
21381758,East Harlem,208
4433328,Upper East Side,184
22721638,Crown Heights,114
17721114,Washington Heights,136
49376188,Murray Hill,227
48176041,Chelsea,28
5528539,Long Island City,237
53446087,Great Kills,50
52482324,Prospect-Lefferts Gardens,128
47909280,Chelsea,41
44542459,Upper East Side,162
6029475,Upper West Side,85
44003414,Hell's Kitchen,88
9845316,Bushwick,91
18931203,Williamsburg,106
10709665,Ditmars Steinway,78
