id rent,number of reviews
3686619,145.0
18007758,48.0
54645683,43.0
20603015,46.0
55112929,16.0
56611318,119.0
26027154,2.0
21159734,26.0
6115634,1.0
1533753,14.0
3360762,6.0
9058288,2.0
45367595,51.0
9245518,1.0
54721900,3.0
5167335,57.0
12486415,125.0
3395004,2.0
21828017,6.0
7131866,105.0
1859610,7.0
22807797,12.0
13730746,4.0
4521696,3.0
3126034,11.0
16264699,30.0
17917180,3.0
17901164,8.0
4962432,2.0
17995607,94.0
4256040,7.0
44892617,102.0
46763809,62.0
25059524,4.0
7189858,1.0
23632381,1.0
24360865,2.0
49614782,1.0
22969069,7.0
44925203,97.0
24523793,17.0
51384351,7.0
8218240,1.0
1931962,1.0
17338370,45.0
7834944,39.0
51350109,5.0
6529859,10.0
14613322,29.0
53204180,4.0
5533510,10.0
24793315,19.0
11548609,5.0
25009265,23.0
50136153,45.0
43281558,24.0
23114876,21.0
4410684,4.0
8922975,37.0
49211051,50.0
23925100,1.0
20451685,1.0
51407548,23.0
26159706,11.0
4703403,47.0
43215834,13.0
4844792,46.0
55236644,1.0
22277589,9.0
47316109,55.0
21470679,16.0
12120792,12.0
9947491,1.0
54693733,10.0
51791396,1.0
7799597,6.0
46010472,14.0
48151739,1.0
1486255,39.0
6250948,2.0
47094085,53.0
50149408,54.0
15959277,66.0
9795609,4.0
53667559,13.0
11644157,13.0
24241015,38.0
7312468,28.0
14032855,71.0
2384295,18.0
16936296,6.0
14985572,13.0
3612610,1.0
26343622,1.0
11662383,77.0
48508525,197.0
26730784,2.0
27289159,2.0
22886776,2.0
56775352,77.0
57115016,15.0
47365264,20.0
22934826,1.0
53854237,7.0
5649493,115.0
11016192,17.0
20017025,1.0
54146956,3.0
3165800,76.0
5980873,3.0
22423396,1.0
47242654,17.0
3425933,152.0
16314406,1.0
7290928,8.0
9396848,1.0
21375131,2.0
27515602,2.0
13687667,37.0
51547832,13.0
19937494,10.0
23519712,30.0
56712942,17.0
4935369,119.0
20710162,20.0
1686740,88.0
5762714,7.0
3080193,1.0
7800701,10.0
25201465,5.0
9746454,24.0
44910291,17.0
18321464,73.0
2259475,49.0
50072086,16.0
53016398,101.0
2179392,54.0
52325470,27.0
49895350,86.0
21476754,7.0
17562052,14.0
26967721,3.0
8005052,10.0
13446312,1.0
12300289,3.0
5435200,3.0
10324712,4.0
15891344,73.0
18994165,1.0
55901061,2.0
44403832,42.0
17644344,16.0
48045698,3.0
20260589,41.0
44995345,45.0
3197833,157.0
20181058,22.0
9529953,7.0
8555143,101.0
53723894,48.0
47908175,19.0
2929968,52.0
19048291,74.0
6428788,7.0
16820865,34.0
20824488,17.0
45632147,13.0
4236157,1.0
49769426,19.0
18877630,43.0
43583666,97.0
27638213,5.0
13819667,1.0
25709581,4.0
5975350,2.0
23219260,7.0
12573126,4.0
27337209,1.0
44794860,26.0
43224119,73.0
50336638,10.0
45458172,18.0
2489785,64.0
52359161,22.0
27170415,6.0
54298838,30.0
26528642,5.0
3509330,5.0
48391990,6.0
5978664,1.0
55601714,13.0
49963283,2.0
21165809,4.0
13101124,146.0
15406425,45.0
51291565,7.0
48807319,16.0
15508600,7.0
55201849,22.0
12943167,116.0
18940592,40.0
45525001,53.0
23152984,7.0
1593954,28.0
25511858,1.0
6021743,1.0
50418931,8.0
2075007,17.0
57168589,26.0
57138765,31.0
6376320,15.0
53985684,1.0
46988043,17.0
22015246,5.0
26546868,2.0
22675245,2.0
18792024,44.0
4851419,20.0
45003077,15.0
7794074,4.0
57239284,15.0
2352262,172.0
17473684,43.0
26174618,5.0
53616196,2.0
48320191,54.0
19892205,19.0
18214318,42.0
17906687,5.0
45597904,78.0
22823814,7.0
3222134,90.0
7644400,7.0
24883340,6.0
16412163,32.0
50242747,96.0
43950946,119.0
20329627,32.0
13953323,53.0
17424529,17.0
6628168,28.0
24212848,8.0
44378978,67.0
16992078,10.0
43186562,3.0
55503957,30.0
1180281,6.0
19830900,6.0
54734051,13.0
15635629,4.0
50116270,48.0
8976548,2.0
6465240,187.0
2466036,68.0
55907688,35.0
18337481,4.0
52320500,10.0
54249684,1.0
56268340,8.0
45657553,7.0
21252520,8.0
56767067,56.0
7681957,11.0
44440283,74.0
12411302,133.0
11324928,10.0
24383509,22.0
2770353,2.0
11492827,5.0
48293680,115.0
19191889,15.0
55999370,2.0
47586736,42.0
11652442,73.0
18178971,19.0
5867099,1.0
17982904,13.0
51444552,38.0
9885082,18.0
56404206,21.0
20453342,3.0
9080933,40.0
49033210,49.0
47524327,4.0
45729904,48.0
24778403,11.0
9600647,172.0
54635741,21.0
52775043,10.0
25076093,2.0
18611974,15.0
2228547,70.0
7985170,11.0
14610008,20.0
51450075,18.0
22327848,1.0
18964894,32.0
8772197,16.0
7858141,1.0
18900827,6.0
12099252,1.0
19331621,41.0
20776990,32.0
23162926,14.0
11461898,168.0
2651608,40.0
50117927,94.0
3420962,77.0
21132119,14.0
8930155,1.0
43727816,86.0
1137202,92.0
47541448,2.0
48518467,2.0
26995888,3.0
15311429,2.0
47028361,35.0
25762050,8.0
9522773,12.0
45043947,51.0
16630321,60.0
9620530,75.0
3314368,129.0
18217079,15.0
27571384,1.0
24825349,16.0
16486723,19.0
4944758,194.0
53423443,3.0
13016070,2.0
26148660,1.0
3848443,70.0
18867136,35.0
11571806,13.0
22092568,14.0
2235727,112.0
5621326,1.0
25611824,6.0
23489887,2.0
18888124,16.0
8063044,70.0
3471222,3.0
23381637,13.0
6933590,6.0
21995916,11.0
5674899,16.0
2754336,6.0
25105365,4.0
43593055,23.0
8445788,5.0
7039632,3.0
46943859,12.0
50100806,4.0
3681648,1.0
55751940,10.0
12569260,2.0
48392542,1.0
52643043,67.0
7440049,6.0
3161934,43.0
55315623,2.0
8026040,208.0
4547102,108.0
9591258,26.0
5330263,17.0
56841628,36.0
21028839,31.0
56252876,3.0
3284544,8.0
42855735,85.0
10788644,10.0
55845278,2.0
6422713,151.0
23471109,10.0
9955776,2.0
4794532,8.0
2789131,10.0
16286791,5.0
52374073,2.0
1732581,201.0
22833203,3.0
17199743,57.0
2970286,34.0
55396258,10.0
2378220,6.0
16943476,5.0
22191982,7.0
46942755,13.0
46822906,132.0
24771223,2.0
26697094,7.0
48866416,1.0
8820247,4.0
43101508,205.0
2947641,57.0
43794092,1.0
51358945,64.0
5188875,10.0
6391232,64.0
10064027,5.0
55375271,10.0
21825255,4.0
12908372,101.0
10200445,12.0
48134066,104.0
24153200,4.0
26360191,1.0
48697412,30.0
12761460,155.0
24073116,10.0
27052775,1.0
3969396,4.0
6771214,9.0
1823158,1.0
23323093,21.0
48503554,1.0
21084069,2.0
11619856,15.0
21665641,15.0
4062183,108.0
7369355,7.0
42972270,2.0
15883060,40.0
52653537,7.0
9332782,6.0
47993782,14.0
45991142,70.0
47298436,2.0
54639055,6.0
19197412,26.0
20443401,23.0
5262883,56.0
23796966,1.0
1312281,30.0
14874560,59.0
20218062,53.0
7325723,1.0
4570851,58.0
46016548,5.0
24006288,11.0
6214496,9.0
6322194,2.0
26634684,1.0
25674786,6.0
4969612,118.0
54055826,5.0
3665079,1.0
5751116,3.0
3144812,137.0
4162701,32.0
27830413,1.0
49376188,56.0
54545716,34.0
8356315,1.0
5444037,30.0
12961393,46.0
3303322,81.0
21054244,33.0
51643932,19.0
27168758,2.0
52640281,4.0
9106339,3.0
14925924,86.0
19961243,38.0
26088459,9.0
53826070,18.0
50482998,1.0
6942427,3.0
3198385,18.0
21959464,6.0
25407473,1.0
45216817,69.0
48979637,4.0
23958238,4.0
51490945,34.0
6450328,18.0
57300589,7.0
55978935,59.0
11175807,87.0
48427889,104.0
47491741,125.0
24952930,6.0
16971643,69.0
5326950,137.0
7321305,3.0
48528408,4.0
43598026,46.0
19459202,17.0
3121063,11.0
44705940,50.0
19319470,148.0
9621634,11.0
5840036,2.0
21040437,18.0
14770175,41.0
20757107,12.0
22322878,1.0
54600946,2.0
1390708,8.0
7079950,1.0
20384857,6.0
6617122,5.0
50198011,22.0
44832969,119.0
42836956,36.0
2070037,16.0
1782841,44.0
8600984,71.0
44530861,69.0
8665603,2.0
25046821,2.0
17509583,37.0
47373549,115.0
2905666,6.0
11255890,93.0
55100778,32.0
6030028,17.0
11187957,34.0
15719579,22.0
52491713,64.0
3407707,18.0
3312159,26.0
47883874,40.0
20649409,1.0
25139608,9.0
22137305,24.0
54364562,10.0
44741839,83.0
53623928,6.0
17853114,2.0
5834513,3.0
54805850,27.0
21993707,15.0
17521734,21.0
5694781,1.0
9983391,5.0
26790985,4.0
44185673,64.0
47327708,34.0
4707269,7.0
16906471,4.0
20633944,3.0
48871386,2.0
48145112,8.0
23853301,8.0
51865405,3.0
23682088,17.0
55722115,3.0
22859713,27.0
48968591,119.0
26171856,3.0
3021649,38.0
45574708,71.0
6548085,52.0
47582318,155.0
4133982,38.0
25602435,1.0
23845016,6.0
49454615,6.0
44447463,31.0
9892261,8.0
18583254,78.0
54119341,10.0
52245387,54.0
44459062,18.0
53240079,11.0
52242073,59.0
14202411,99.0
45120717,10.0
9585735,53.0
16224381,1.0
13085660,347.0
23575494,15.0
8333119,4.0
46655559,3.0
54397148,104.0
50792286,2.0
51880317,42.0
15978055,22.0
55702233,1.0
48226852,10.0
27106348,3.0
24192413,8.0
25798501,2.0
17307994,19.0
47673448,7.0
8858356,22.0
7838258,102.0
14722677,10.0
2852646,7.0
19241044,6.0
9655877,30.0
53454924,15.0
9365367,88.0
18664442,4.0
20085510,4.0
26192844,4.0
43037441,24.0
3364628,1.0
2545015,73.0
14364235,107.0
9473066,2.0
14644803,97.0
47842451,1.0
46874822,3.0
9582973,26.0
44630275,6.0
47356427,84.0
7096519,2.0
44910843,132.0
23468348,10.0
51022042,7.0
43805138,99.0
47736962,1.0
6961205,5.0
6780051,17.0
3552410,31.0
11872257,2.0
46252380,8.0
47551942,161.0
55947454,29.0
2057334,219.0
9702270,1.0
26168542,1.0
22077656,7.0
46609718,3.0
9495158,87.0
57113911,38.0
44626961,24.0
5878145,53.0
44612601,76.0
3137080,11.0
11355856,6.0
4868541,87.0
8069671,12.0
56288223,14.0
50870712,57.0
53124649,25.0
24912612,1.0
19309529,2.0
20651618,1.0
8239228,1.0
55174786,10.0
12691870,109.0
20407501,17.0
5057980,76.0
50137810,81.0
10061265,1.0
10309800,1.0
1576280,89.0
57272422,7.0
13847282,51.0
5370029,9.0
20256171,6.0
1440967,10.0
13119350,67.0
15523512,1.0
19696691,32.0
16455795,42.0
44653471,9.0
10854920,1.0
1811560,5.0
23292164,3.0
44405488,86.0
2994587,1.0
19718231,22.0
8892046,221.0
21923565,9.0
26858365,2.0
50181442,60.0
18281698,21.0
21498846,40.0
6630378,2.0
5684840,67.0
19333278,9.0
3877162,16.0
16266356,6.0
1871761,1.0
8502122,47.0
7495279,43.0
43605758,9.0
55692844,38.0
25987388,2.0
2907323,130.0
54223726,82.0
53625585,70.0
54426420,6.0
16638054,6.0
51469405,31.0
55325012,60.0
52058710,50.0
5571619,63.0
3734116,37.0
6471315,7.0
55336058,1.0
2225233,25.0
10530168,115.0
45529971,3.0
48068894,49.0
45041186,87.0
24342086,8.0
45198591,22.0
57028305,64.0
21302779,3.0
4320107,56.0
43536721,44.0
3202804,150.0
19609980,13.0
4448240,7.0
49056959,48.0
56675938,36.0
3482820,64.0
43491984,1.0
6137174,44.0
15800767,12.0
17795674,75.0
12390314,21.0
20985759,5.0
24300112,4.0
23125369,9.0
15870357,32.0
49269042,157.0
6324956,2.0
20609643,2.0
6862896,200.0
17393048,16.0
8010023,74.0
8077956,1.0
7662074,4.0
56435135,35.0
43595264,3.0
15746089,37.0
51226393,1.0
17492462,94.0
51027013,91.0
13307132,1.0
8098391,42.0
23155194,2.0
9374204,55.0
43415215,45.0
16560179,47.0
49471184,23.0
25785799,7.0
50696185,10.0
44827446,22.0
14632652,1.0
27084256,1.0
56841075,37.0
57313844,9.0
7739948,1.0
20890764,6.0
25104260,1.0
22501270,35.0
55170920,13.0
25315791,7.0
47858468,181.0
7521238,2.0
18487706,9.0
7848199,18.0
18901931,8.0
52766758,36.0
22189221,3.0
9332229,5.0
9205200,3.0
24673466,4.0
15736148,100.0
3308845,4.0
3776091,24.0
43929406,11.0
17230119,12.0
15942708,5.0
9833165,56.0
4610064,15.0
6957339,17.0
21161943,33.0
56678699,82.0
10430754,9.0
2441734,96.0
25758736,2.0
25206988,10.0
25653799,4.0
8751210,179.0
52130509,45.0
27982848,1.0
51539548,26.0
20991282,7.0
11049330,38.0
18678802,8.0
20418547,46.0
54598185,49.0
27763033,1.0
15916198,8.0
20415786,2.0
11162551,37.0
1091913,14.0
25243992,2.0
47505548,375.0
6714880,1.0
1005202,49.0
47238235,7.0
46383275,32.0
11591689,31.0
4612273,52.0
47030018,124.0
48575906,64.0
7124134,74.0
4866884,6.0
5883668,6.0
15860968,1.0
14962928,5.0
4068810,1.0
20295937,2.0
42897157,1.0
15679261,5.0
45950272,15.0
26155840,15.0
57333727,129.0
5009377,95.0
1548113,17.0
48093748,12.0
51286594,2.0
25035223,18.0
27016323,7.0
50031769,85.0
19538181,15.0
52425989,6.0
26670031,1.0
8857251,2.0
4317345,2.0
21501607,16.0
7060067,6.0
52118358,5.0
23408147,20.0
20796320,4.0
2031376,126.0
5001093,2.0
52115044,22.0
48486985,21.0
6861791,8.0
9039510,70.0
48564307,7.0
44008385,12.0
46594806,41.0
12437260,123.0
24388480,18.0
24538705,11.0
49887066,145.0
4122936,113.0
5160155,12.0
1623778,48.0
16677267,26.0
54150270,30.0
47928058,88.0
55713831,2.0
24195175,1.0
57164171,8.0
55864609,2.0
8827979,147.0
44413773,86.0
2836077,272.0
17708963,21.0
48211388,10.0
2625650,11.0
4817177,56.0
22443279,9.0
3601564,142.0
18738451,36.0
