id,name,host name,borough,construction year,house rules,room type,price,minimum nights,last booking
1070926,Modern Apt with Spectacular Views,Lucas,Brooklyn,2004,"- NO parties or events. -NO smoking inside. You are welcome to smoke outside. -We ask guests to maintain a low noise level after 10pm and be respectful of noise levels during the day. You are welcome to have a few friends over for dinner but no loud music. -NOTHING but toilet paper and human waste in the toilet.  -Hair dyeing are not allowed in the apartment as the wood, furniture and bathroom sink can stain very easily. -All overnight guests must be booked through Airbnb. If you plan to have visitors during your stay, please check with us beforehand.  -All overnight guests must be booked through Airbnb.  Enjoy yourself!  Ask us for anything you may need while you're here! We will do our best to help.",Private room,659,1,2021-09-18 11:50:48
1072030,Secluded Master Bedroom in Beautiful Huge Apt,Dexter,Manhattan,2010,No shoes and no smoking inside please. No smoking on the porches or around the house. The neighbors below us have a young child with severe asthma. ,Private room,736,15,2017-08-17 10:20:47
1072583,B & B Room 1,Darcy,Brooklyn,2013,No smoking. And preferably no cats. dogs welcome.,Private room,946,3,2019-05-14 04:34:58
1073135,ACCOMMODATIONS GALORE #1,Daniel,Manhattan,2005,Tenant Agreement: House Rules: The landlord reserves the right to inspect the unit to enforce the terms of this agreement at any time. No smoking. No parties. No pets. Reduced noise after 11pm. No sublet. No more than eight people to reside on premises unless given written approval.  No refunds to be given for shortened stays.  No refunds to be given for any cable or internet WI-FI outages.  You are responsible for safe keeping of your own valuables. The landlord is not responsible for lost items.,Entire home/apt,449,3,2019-06-20 09:54:12
1073687,Sunny Room in New Condo,Victoria,Brooklyn,2018,"Please leave your shoes in the entranceway.  I will leave the house sparkly clean for you and hope that youll do the same for me. ;) If you are a smoker you are welcome to use either the back porch or roofdeck.  There is an ashtray on the back porch.  Please be considerate of neighbors with outdoor noise levels. Congrats! You get to be surrogate parents to the other residents of 9 mark st, Turtle and Froggy, my cats.  Ill leave plenty of food for them but you are responsible for feeding them.... and they will thank you with lots of purring and snuggly lap time.",Private room,930,3,2019-07-03 09:18:16
1074240,Stylish & Sleek Apartment Near SoHo!,Brooke,Manhattan,2006,There are two other units in the same building and we respect each other with noise.  Guests are asked not to have loud music or any parties. We don't charge a cleaning fee so please leave the house in good shape when you leave.  Please load the dishwasher and run it prior to departing. Thank you!,Entire home/apt,329,5,2019-06-25 04:10:12
1077001,Sanctuary in East Flatbush,Anna,Brooklyn,2020,"Please clean after yourself, wipe spilled water after using the bathroom, do not smoke in the apartment and treat the place as you would treat your home! Please let us know about pets or service animals in advance.",Private room,96,2,2019-01-01 12:27:17
1083629,Cozy BR in Wiliamsburg 3 Bedroom,Bruce,Brooklyn,2003,"You must disclose at what time you are planning to arrive when booking.  If it's too late at night, we may not be able to accommodate you.  If you don't disclose the information, your reservation will be canceled immediately.  International guests:  Please make sure your visa/work permits are in order.  We cannot refund your money if you are unable to come because your paperwork was not in order.  If you are booking far in advance because of work/study issues, please be aware that if things change because of whatever circumstance we are not able to give you a full refund.  Please understand that we have kept your place for months foregoing other bookings.  The policy is that if you let us know a week in advance, you will receive 50% of what you have paid.  Also, the money that you pay upfront to secure the place is kept by airbnb which handles all money transactions.  No smoking indoors, only on the deck.  No pets.  Come and go as you please.  No loud music please.  Own housekeeping du",Private room,1133,3,2019-06-22 09:20:13
1084181,Sunny Room in Old Historical Brooklyn Townhouse,Jessica,Brooklyn,2014,I'm a semi kosher vegetarian which means that I don't bring any pork or shelled fish into the house.  Chicken/Red meat is fine.,Private room,162,8,2019-06-29 04:43:35
1084733,Sun Filled Classic West Village Apt,Valeria,Manhattan,2009,- Minimum two night stay  - No smoking or drugs  - No parties and please be respectful of neighbors - Pets are welcome for an extra $50/night,Private room,944,4,2019-06-22 23:02:38
1085286,Lg Rm in Historic Prospect Heights,Wilson,Brooklyn,2009,"Please! No parties, no pets, no smoking, no illegal downloading from the Internet.",Private room,505,15,2013-05-10 06:06:16
1090809,"A room w/ a Manhattan view, longer stay",Dominik,Queens,2018,"- We have a very friendly cat and two chickens (in our outdoor coop in the back of the yard). Chickens and cat will be cared for/fed ( including cat litter box) by a pet sitter through a private basement entrance. We just ask that you let our indoor/outdoor cat in and out when you are home and please enjoy our fresh ""daily"" eggs.",Private room,355,30,2019-04-12 21:17:15
1091361,"Private, Large & Sunny 1BR w/W&D",Aldus,Brooklyn,2008,"Please keep cats out of bedrooms and bathroom, by keeping those doors closed.  Don't let cats outside the apartment.  No smoking.  Make sure front door is locked when you come in.",Entire home/apt,244,2,2019-06-22 09:50:24
1091913,Luxurious Condo in DUBMO with View,Edith,Brooklyn,2016,"Please care for our home as you would your own. This is not a vacation rental, it is our real home :)  Upon your departure please load and run the dishwasher, and take out your garbage and recycling. Instructions will be provided for you.",Private room,385,47,2021-04-25 15:23:09
1092466,Charming & Cozy midtown loft any WEEK ENDS  !!!,Luke,Manhattan,2021,Please be respectful.  Keep noise to a minimum after 9pm. No Smoking. No recovering patients from medical procedures. Thanks!,Entire home/apt,950,81,2016-09-23 12:31:48
1093018,* Spacious GARDEN Park Slope Duplex* 6 people max,Nicole,Brooklyn,2021,"No candles, smoking or flame of any kind is allowed.  No pets and please be sensitive to the environment and our bills by turning off lights, heat and water when not in the apartment.",Entire home/apt,374,144,2019-07-06 20:26:10
1093570,Convenient cozy cheap apt Manhattan,Agata,Manhattan,2011,"You will be sharing a bathroom, so you must be considerate of time spent in the bathroom in the morning when getting ready. If you use the kitchen, please put the dirty cups, bowls, plates, and silverware in the dirty dishes tub, and hand wash all of the pots, pans, and cooking tools you use. Please clean up any mess you may have made. Remember to turn on the fan when using the stove or oven so the fire alarm does not go off from the steam! Please only smoke outside, away from the apartment building, and dispose of your cigarettes responsibly. Checkout: Checkout is at 11:00 am, please inquire if you would like to check out later or leave your bags with us for the day. If we are not awake/home when you leave, please leave the passes on the desk in your room, lock the front door behind you, and put your keys in the lock box behind the front stair case.",Entire home/apt,375,371,2015-11-02 06:07:41
1097989,Financial District Luxury Loft,Amy,Manhattan,2022,"No Smoking.  Smoke alarms will sound (not just in the unit, but throughout the other units in the building as well).  Please keep the outside gate closed.  No parties. Overnight guests, other than those listed on the reservation, are not allowed.",Entire home/apt,387,268,2019-06-20 15:35:12
1099093,Your own Lovely West Village Studio,April,Manhattan,2017,We expect guests to treat this as they would their own home.  We don't allow pets.  We don't allow smoking.,Entire home/apt,665,189,2019-06-01 16:49:47
1099645,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Daniel,Manhattan,2013,"We ask guests to leave the house as they found it and to respect our home, our belongings, and our privacy. No smoking or drug use in our home at any time.",Entire home/apt,175,30,2019-05-26 05:24:27
1100198,Greenwich Village Stylish Apartment,Jared,Manhattan,2012,I appreciate guests on the quiet side who are mindful that this is my home. Non-smoking please. No open flames permitted. No pets.,Entire home/apt,408,340,2016-04-20 13:41:03
1100750,Clean and Cozy Harlem Apartment,Ashton,Manhattan,2019,"We live on the premises - two women,  two dogs and a cat. We are a strictly NON-SMOKING household - this includes all smokeable substances. We tend to stay up late, so late arrivals to about 11 pm or so are OK. We can arrange for a later check-in via a key box, but we may not meet you in person until the next morning. Check-in is after 5 pm except by prior arrangement, and checkout is at 11 am promptly to allow time for the unit to be cleaned before the next guest. This is a quiet residential neighborhood so please, no parties or loud music. There is door from the 3rd floor onto the roof as a safety exit, but the rubber roof is very delicate.  If you are tempted to walk out on the roof, please do so in your bare feet only.  There is no railing for the roof.  Under no circumstances may children access the roof. Thank you for not smoking any substance on the roof, on the deck or anywhere on the premises.",Entire home/apt,601,128,2018-12-17 03:18:32
1101302,"Fort Greene, Brooklyn: Center Bedroom",Adele,Brooklyn,2011,"-No shoes in our home. Please leave them at the door in the foyer. -No smoking in the house indoors. There are ashtrays outside. -No stealing cutlery, utensils, other kitchen items or of any kind. -No damaging walls or windows. -No alterations, decorations, structural changes or additions to the premises. -No lock combinations shall be shared, nor a new lock installed. -Please do not take any of the local town guides. They are for information purposes. -All children should be supervised. -No early check-in or late checkout without prior approval from the property manager. -The maximum occupancy (per contract) {and conditional pet request} may not be exceeded at any time during reservation. -When showering please keep shower curtain inside the tub",Private room,107,350,2019-06-30 23:54:08
1101855,Beautiful Queens Brownstone! - 5BR,Brad,Queens,2011,No Parties allow  Non smoking,Entire home/apt,724,166,2019-05-12 12:30:08
1103512,Park Slope haven 15 mins from Soho,Kelsey,Brooklyn,2015,No smoking.,Entire home/apt,327,142,2019-06-05 18:39:51
1119528,Spacious Williamsburg Share w/ LOFT BED,Perry,Brooklyn,2017,This is our home and we want guests who respect our privacy and the fact that we are two working parents with kids. We can usually be flexible with check-in and check-out times so please let us know if you have any particular needs.,Private room,131,4,2019-06-10 19:16:13
1120081,Cozy 2 br in sunny Fort Greene apt,Andrews,Brooklyn,2005,"This is a non-smoking, pet friendly house. Please don't let the cats out.",Private room,444,3,2018-12-31 04:16:26
1120633,Cozy East Village Railroad 1 Bed!,Cooper,Manhattan,2010,No parties no loud music any issues please call,Entire home/apt,1089,1,2019-07-01 15:18:12
1123947,"Great new apt, close to everything",Ross,Manhattan,2020,"Kid friendly if you bring your own pack n play or crib. IF YOU HAVE ALLERGIES PLEASE LET US KNOW. There is a dog who lives here, who will not be present for your stay, but who might have left behind some dander that could make you sad!",Entire home/apt,813,3,2019-06-09 03:18:57
1124499,Quiet & Clean Retreat in the City,Rogers,Manhattan,2017,"We would love to hear a bit about you and what brings you to Boston before accepting any reservations. Please make sure your profile is filled out (including a clear picture of you), and your online and offline verifications are complete before you submit a reservation request so we have an idea of who you are.  Please be respectful of my home and other guests - clean up after yourself, keep your toiletries neat and organized in the shared bathroom, no smoking indoors, and please remove your shoes upon entering.   I have coffee and tea for guests, and will leave out some basic breakfast items like snack bars and fresh fruit, however if you are planning on using the kitchen during your stay I ask that you provide your own food and drink.   Please do not bring additional guests home without express prior permission from the host.   Sorry, no pets allowed.",Entire home/apt,111,3,2019-05-24 20:58:31
1125051,Stylish Large Gramercy Loft!,Martin,Manhattan,2020,"-NO smoking inside. You are welcome to smoke outside, but please be respectful if the kids are in the yard or garden. -NO candles or incense please! The gas stove should be the only indoor flame.  -We ask guests to maintain quiet from 9pm-9am and be respectful of noise levels during the day. You are welcome to have a few friends over for dinner, and we love noisy kids, but loud music or loud parties do not work well in this space.  -The original house and foundation are over 150 years old, and although we strive to keep it very clean the occasional mouse or animal has found it's way in (mostly behind the walls, so you might hear scratching although we are trying to seal all the foundation holes), so please keep food mess put away. -Please clean up messes that could stain or damage our carpets, furniture or bathroom. Hair dyeing and hair cuts are not allowed in the apartment as the wood and claw foot tub can stain very easily. -Please remove muddy, snowy or shoes with anything on them t",Entire home/apt,908,2,2019-06-30 18:00:49
1125604,The Brownstone-Luxury 1 Bd Apt/NYC,Dixon,Manhattan,2008,Please treat my home with the love and care you would give your own.,Entire home/apt,823,3,2019-06-26 05:48:29
1126156,PRIVATE Room on Historic Sugar Hill,Allen,Manhattan,2011,- Animaux sur place (lapins) - respect du voisinage - Acces à la chambre des autres locataires interdit ,Private room,186,1,2019-07-03 14:34:56
1126708,South Slope Green,Murphy,Brooklyn,2021,"No candles. Close and lock windows when you leave the house. Clean up after yourself in the bathroom and the kitchen. Mutual respect and have fun! If you want to have an event or party, let's check in about it first.",Private room,84,2,2019-05-17 07:10:37
1127260,"17 Flr. Manhattan Views, Nr. Subway",Clark,Manhattan,2018,Guests are liable for any damage to the unit or property. Guests assume all personal liability and risk for injury to themselves and others during their stay.,Private room,241,7,2019-05-08 10:58:44
1127813,"Spacious 1BR, Adorable Clean Quiet",Montgomery,Manhattan,2017,"Guests to be reasonable; don't make late-night and AM noise,  ASK about having pets-- dogs usually OK; cats (due to allergy) usually not OK Children welcome Shared bath has never been a problem No smoking inside. Washer and Line for drying available. Pls. use fridge/stove, etc.",Entire home/apt,54,3,2019-01-02 19:37:30
1128365,"Nice, clean, safe, convenient 3BR",Fowler,Queens,2020,"-Remove shoes -be sure to lock the front door when entering or leaving the house -be reasonably quiet during sleeping hours - clean up after yourself in common areas like kitchen and bathroom -Good communication is key - There may be other guests staying and you will be sharing the bathroom with the host and one other guest. Please tell me a little bit about yourself and your purpose for the trip. Are you traveling for work, visiting friends in this area, or a tourist on vacation? This is a friendly household, reasonably quiet. -We expect guests to be reasonably quiet coming in and out before (9AM and after 10PM.  -No smoking -No pets - For safety reasons please do not invite other people to our place.  -Ask if you need anything, I will be providing you with towels, shampoo, conditioner, body wash, lotion, hair dryer. Self serve breakfast items will be provided as well, Coffee, tea, milk, half and half, yogurt, english muffins, with jam and butter, fresh fruits, instant oatmeal, and ce",Entire home/apt,656,14,2022-04-03 22:54:25
1128917,Franklin St Flat in Trendy Greenpoint Brooklyn,Payne,Brooklyn,2018,"No shoes in the house please - helps clean the house clean from dirt and germs. We don't charge a cleaning fee, so please leave the house in good shape.  Thank You!",Entire home/apt,509,2,2019-05-19 01:11:34
1129470,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",Adams,Manhattan,2016,No smoking inside or outside.  Please no food in the bedroom and keep the bedroom and bathroom neat.  Clean up after you are finished in the kitchen.,Entire home/apt,1198,4,2019-07-01 07:28:24
1136097,Great room in great location,Tucker,Manhattan,2010,Be respectful of my roommates and my dogs.,Private room,1076,14,2019-06-01 06:41:24
1136650,Exclusive Room with Private Bath in  LES,Warren,Manhattan,2008,"SUMMER SEASON: We have 2 A/C units in apartment, please do not move them, they must remain where they are for electrical reasons and they have to be on a certain angle as well. They are heavy too. Please turn them off when you are not in the condo. It’s an older home; don’t over charge electricity; the circuit breaker will pop if too much charged electricity... (Read utilities on the “house notes”) We ask our guests to be considerate of our neighbors and keep noise levels reasonable. This is a quiet neighborhood.",Private room,956,4,2019-06-23 15:03:24
1137202,"Quiet, clean midtown apt w. elevato",Taylor,Manhattan,2015,"No candles. Close and lock windows when you leave the house. Clean up after yourself in the bathroom and the kitchen. Mutual respect and have fun! If you want to have an event or party, let's check in about it first.",Entire home/apt,81,200,2019-04-30 05:01:35
1137754,BK Sweet Suite w/Kitchen&FullBath,Mason,Brooklyn,2011,"Relax and enjoy. Kitchen fully equipped. Linens and towels supplied.  No smoking. No candles. And, sorry, but this is a place for one adult or a couple. Not suitable for kids.",Entire home/apt,472,3,2019-06-14 03:41:57
1138306,Great East Village Apartment Rental,Hunt,Manhattan,2018,"As mentioned, this is a quiet neighborhood with a mix of young people starting out and families, and we have neighbors living above us in the house and on either side of the house.  As such, loud, late night parties will not be hosted here. We would hope that this house would serve as your staging place to a great Boston experience, but that the bulk of that experience will occur while you are out exploring the area!",Entire home/apt,1058,50,2019-05-26 21:22:45
1142725,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,Richardson,Brooklyn,2019,"ANDREA’S HOUSE RULES:  ** The PINK ROOM is a room in a no-shoes house. Please [BRING] wear slippers or inside-only shoes.  ** All overnight guests must be booked through Airbnb. If you plan to have visitors during your stay, please check with us beforehand.  ** Please help us avoid any staining and damage to the furniture & linens by keeping food and beverages out of the bed. [**For MAKEUP REMOVAL please use the wipes provided and/or the dark washcloth.]  ** Enjoy our PINK ROOM, our BEVERAGE AREA in the living room, the bathroom, and please ** leave these spaces clean & tidy as you found  them **  ** As it states in the “Amenities” section on my listing, I do not provide breakfast (unless you have made a specific arrangement for meals with me). I do offer a few things to get you started. However, there are always several options for coffee in the freezer and other beverage materials in the beverage section.  ** Please hang coats and LEAVE shoes/boots in the hall  ** Please leave towels",Private room,1164,2,2019-06-23 18:27:19
1153771,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,Miller,Brooklyn,2015,THIS IS A NON-SMOKING RESIDENCE. NO Children under the age of 16  Smoking is permitted on the outside front porch deck only. Quiet hours are from 11:00 p.m. - 7:00 a.m. No pets allowed. Be respectful of your neighbors.,Private room,368,5,2019-01-05 01:07:16
1154875,CHARMING EAST VILLAGE 2 (or 1) BR,Chapman,Manhattan,2012,"Thanks for not smoking and leaving your pets at home! Thanks for keeping the house locked. Thanks for not throwing parties. And... all of the usual stuff that is just good common sense like using coasters and place mats and returning the apartment to the way it looked when you arrived. There is no parking in the driveway. At the end of your stay, please strip the beds and put the sheets in the pantry or on the bathroom floor. Towels can be put with the sheets. Trash and recycling pick up is on Tuesdays. If you are staying through a Tuesday, please put your garbage and recycling outside in the appropriate barrels Monday night or by 7:00 am on Tuesdays. THANKS!",Entire home/apt,850,7,2019-01-03 09:21:52
1155428,Farmhouse Apartment in Williamsburg,Owens,Brooklyn,2006,We hope you’ll enjoy our Boston home and that you will care for it as we do. We do not allow pets or smoking in the house.,Entire home/apt,1003,10,2019-06-29 08:19:24
1165369,Prewar Penthouse w Private Terrace,Harris,Manhattan,2010,Please treat our house as we'd treat yours: with care and respect.,Entire home/apt,544,11,2019-06-13 19:55:15
1165921,Designer 2.5 BR Loft in Carroll Gardens by Subway,Ryan,Brooklyn,2015,"Please be respectful to other members of this home., no parties or loud music is permitted. You can use a porch on the back of the house. No smoking or candles is allowed inside or outside the house,  Please strip the bed and put linen and towels into laundry basket.",Entire home/apt,523,2,2019-06-27 02:09:09
