id,area,pop,km2
50209609,Inwood,60000,2
54524729,Flushing,200000,7
25665397,Upper East Side,200000,6
8640197,Bedford-Stuyvesant,180000,4
10806318,Midtown,250000,3
52664583,South Slope,100000,3
10315323,Bushwick,120000,4
53126305,Bushwick,120000,4
9276999,Vinegar Hill,30000,2
50667466,South Beach,150000,5
8898674,Crown Heights,200000,5
1084181,Fort Greene,70000,3
45250507,Rockaway Beach,60000,3
5092222,Williamsburg,200000,4
1398440,Harlem,250000,8
15231898,Financial District,40000,2
50181442,Washington Heights,170000,6
6942979,Williamsbridge,80000,4
2583123,Williamsburg,200000,4
3458519,East Village,110000,3
44174627,East Flatbush,120000,5
15057371,Harlem,250000,8
53311326,Prospect-Lefferts Gardens,80000,4
21334813,Gowanus,40000,2
18265682,Canarsie,120000,4
9014104,Crown Heights,200000,5
1295160,Chelsea,80000,3
13973758,Prospect-Lefferts Gardens,80000,4
55487940,Elmhurst,120000,5
55400125,East Elmhurst,100000,3
54098353,Harlem,250000,8
20298146,New Dorp Beach,150000,5
9048347,Murray Hill,60000,2
12813928,Chelsea,80000,3
48386467,West Village,100000,2
45355997,Rosedale,150000,6
1834204,Mariners Harbor,50000,3
47685046,Kips Bay,50000,2
22188116,Astoria,250000,7
20580371,Bushwick,120000,4
55976173,East Elmhurst,100000,3
3783271,Park Slope,150000,5
4408475,Upper West Side,210000,5
48258333,Williamsburg,200000,4
19239939,Bushwick,120000,4
3767807,Washington Heights,170000,6
43110345,Manhattan Beach,100000,4
47093533,Belmont,120000,5
8159696,Prospect-Lefferts Gardens,80000,4
53035728,Upper East Side,200000,6
46310923,Park Slope,150000,5
21946761,Bushwick,120000,4
43905105,Greenpoint,30000,2
8280650,Bedford-Stuyvesant,180000,4
43741072,Upper East Side,200000,6
23011596,Hell's Kitchen,100000,3
18593748,Jamaica,250000,7
12609577,Sunset Park,250000,6
26721947,Harlem,250000,8
9119041,Hell's Kitchen,100000,3
11725897,Midtown,250000,3
5361745,Upper East Side,200000,6
5079519,Hell's Kitchen,100000,3
23707494,Bedford-Stuyvesant,180000,4
1941903,Prospect Heights,90000,4
47440377,East Village,110000,3
56647218,Rosedale,150000,6
3885999,Bedford-Stuyvesant,180000,4
43522361,Upper West Side,210000,5
3140394,Kips Bay,50000,2
8526424,Bedford-Stuyvesant,180000,4
19602800,Sunnyside,120000,5
25256143,Bedford-Stuyvesant,180000,4
53129619,Gowanus,40000,2
47112863,Bedford-Stuyvesant,180000,4
4547102,West Village,100000,2
1247110,Harlem,250000,8
20896287,Brownsville,180000,7
53723894,Flatbush,180000,5
3001767,Prospect-Lefferts Gardens,80000,4
3572845,Prospect Heights,90000,4
17985666,Greenpoint,30000,2
23669385,Flushing,200000,7
46635124,Carroll Gardens,40000,2
51737271,Astoria,250000,7
20356137,Williamsburg,200000,4
24372463,Flatlands,50000,3
51455598,Upper East Side,200000,6
47689464,Upper East Side,200000,6
10661615,East Village,110000,3
47598887,Greenpoint,30000,2
13280070,Tribeca,100000,4
24110673,Sunnyside,120000,5
54394939,West Village,100000,2
3930735,Sunset Park,250000,6
24496730,Astoria,250000,7
2916712,Lower East Side,100000,3
8520348,Williamsburg,200000,4
57118882,Long Island City,180000,6
11609914,Harlem,250000,8
3832978,Bedford-Stuyvesant,180000,4
7163347,Queens Village,120000,4
5104373,Upper West Side,210000,5
8552934,South Slope,100000,3
2110907,Bushwick,120000,4
53110289,Murray Hill,60000,2
26851738,Flatbush,180000,5
24002422,Bushwick,120000,4
25881346,Bushwick,120000,4
6587298,Chelsea,80000,3
19370834,Cobble Hill,60000,2
14051080,Astoria,250000,7
14874007,Canarsie,120000,4
27307937,Midtown,250000,3
26571721,Bushwick,120000,4
50001392,Civic Center,80000,3
2758755,Gowanus,40000,2
45430557,East Village,110000,3
20539501,Gowanus,40000,2
7694660,South Slope,100000,3
14083114,Bedford-Stuyvesant,180000,4
51568819,Williamsburg,200000,4
1262574,Washington Heights,170000,6
20114230,East Flatbush,120000,5
13067434,Williamsburg,200000,4
57260823,Hell's Kitchen,100000,3
20884688,Bedford-Stuyvesant,180000,4
11762349,Bedford-Stuyvesant,180000,4
54149717,Kensington,35000,2
47760711,Clinton Hill,50000,3
15841637,Hell's Kitchen,100000,3
43157843,Bushwick,120000,4
12937644,Bedford-Stuyvesant,180000,4
55644793,Bedford-Stuyvesant,180000,4
47313348,Washington Heights,170000,6
18177866,East Village,110000,3
17789047,Washington Heights,170000,6
26082384,Flushing,200000,7
42940237,Chelsea,80000,3
19095789,Financial District,40000,2
17302471,Gramercy,50000,2
10178905,Bedford-Stuyvesant,180000,4
4858047,Upper East Side,200000,6
9330572,Sea Gate,30000,2
21860050,Williamsburg,200000,4
3095658,Carroll Gardens,40000,2
56338482,Astoria,250000,7
44171866,Greenpoint,30000,2
23867661,Financial District,40000,2
3878819,Flatbush,180000,5
2132999,Williamsburg,200000,4
24163693,East Harlem,120000,5
1575728,Prospect Heights,90000,4
26111103,Crown Heights,200000,5
3788242,Sunset Park,250000,6
46269501,Upper West Side,210000,5
43659331,Flatbush,180000,5
27005829,Borough Park,250000,6
48900658,Bedford-Stuyvesant,180000,4
24465802,SoHo,120000,4
53516782,Little Italy,60000,2
52255881,East Elmhurst,100000,3
3913062,Bushwick,120000,4
19877845,Hell's Kitchen,100000,3
50163768,West Village,100000,2
24522136,Vinegar Hill,30000,2
3327071,East Village,110000,3
2937700,NoHo,30000,2
56581494,Bayside,120000,4
3029934,Upper West Side,210000,5
16515995,Harlem,250000,8
50385241,Long Island City,180000,6
50438261,Williamsburg,200000,4
5857158,Upper West Side,210000,5
3696560,Williamsburg,200000,4
11819236,Kensington,35000,2
4696223,Bushwick,120000,4
1209001,Harlem,250000,8
10136930,Roosevelt Island,15000,2
5615250,Upper West Side,210000,5
49971568,Upper West Side,210000,5
11852926,East Harlem,120000,5
14948568,Murray Hill,60000,2
48740491,Hell's Kitchen,100000,3
53474807,Tribeca,100000,4
47303407,Lower East Side,100000,3
26195053,Harlem,250000,8
22655914,Upper West Side,210000,5
7064485,Morningside Heights,150000,5
7904534,Carroll Gardens,40000,2
20044088,Bedford-Stuyvesant,180000,4
52892130,Flushing,200000,7
50758595,Williamsburg,200000,4
53201971,Edenwald,100000,4
9126221,Washington Heights,170000,6
5337996,SoHo,120000,4
17755357,Upper East Side,200000,6
17349416,Bedford-Stuyvesant,180000,4
43754327,Sunset Park,250000,6
11036627,East Flatbush,120000,5
10205968,Kew Gardens Hills,120000,5
16314406,Park Slope,150000,5
47270269,West Village,100000,2
24769014,Financial District,40000,2
15730625,Upper East Side,200000,6
6979431,Midwood,180000,5
27030130,East New York,150000,5
49609259,Flushing,200000,7
43021425,Woodhaven,100000,4
2221367,Prospect-Lefferts Gardens,80000,4
52254776,Bedford-Stuyvesant,180000,4
2625650,Chelsea,80000,3
4782382,Gowanus,40000,2
48161681,Upper West Side,210000,5
17596846,Prospect-Lefferts Gardens,80000,4
5834513,Astoria,250000,7
52336516,Bedford-Stuyvesant,180000,4
4401847,Upper East Side,200000,6
55205163,Bushwick,120000,4
10686469,Bedford-Stuyvesant,180000,4
47432645,Williamsburg,200000,4
10659958,Canarsie,120000,4
45858590,Harlem,250000,8
2897934,East Harlem,120000,5
7732768,Williamsburg,200000,4
1645318,Gowanus,40000,2
19703319,Long Island City,180000,6
18867136,Harlem,250000,8
17732712,Lower East Side,100000,3
10963171,Bushwick,120000,4
3087925,Greenwich Village,150000,3
26504341,Columbia St,50000,2
20737777,Upper East Side,200000,6
10029784,Harlem,250000,8
47060947,Hell's Kitchen,100000,3
12899535,East New York,150000,5
52335412,Bedford-Stuyvesant,180000,4
4544893,Upper East Side,200000,6
18903036,Bedford-Stuyvesant,180000,4
12674749,Soundview,120000,5
3773882,Flatbush,180000,5
11425446,Bedford-Stuyvesant,180000,4
44978224,Hell's Kitchen,100000,3
15998490,Bushwick,120000,4
51453389,Williamsburg,200000,4
56704657,Crown Heights,200000,5
18962132,West Village,100000,2
55812693,Woodside,150000,4
21691046,Bedford-Stuyvesant,180000,4
8444683,Chelsea,80000,3
45381955,East Village,110000,3
8986489,Hell's Kitchen,100000,3
55823739,Bushwick,120000,4
2907323,Bedford-Stuyvesant,180000,4
50327249,Bedford-Stuyvesant,180000,4
7855379,Financial District,40000,2
13914110,Bensonhurst,180000,5
48736625,Williamsbridge,80000,4
2580362,Harlem,250000,8
15070626,East New York,150000,5
21440302,Midtown,250000,3
23086708,Hell's Kitchen,100000,3
8327043,Lower East Side,100000,3
45555929,East New York,150000,5
23001654,NoHo,30000,2
16037151,Ridgewood,100000,4
19279152,Bayswater,120000,4
21298913,Whitestone,120000,5
20826697,Flatbush,180000,5
18454016,Ridgewood,100000,4
5617459,Bedford-Stuyvesant,180000,4
20699668,Harlem,250000,8
18576627,Sunnyside,120000,5
4629395,Murray Hill,60000,2
50764118,Sunnyside,120000,5
10421365,Harlem,250000,8
3069147,Clinton Hill,50000,3
5585426,East Village,110000,3
2564345,Flatbush,180000,5
52685018,Chinatown,100000,3
56913979,Upper East Side,200000,6
16236532,Clinton Hill,50000,3
21573406,Upper West Side,210000,5
55144410,Tribeca,100000,4
47057633,Allerton,60000,4
45149989,Bedford-Stuyvesant,180000,4
7077741,Elmhurst,120000,5
18693162,East Village,110000,3
50819901,Clinton Hill,50000,3
43959230,Financial District,40000,2
16578958,Bay Ridge,200000,5
21296704,Bushwick,120000,4
20994044,East Flatbush,120000,5
15372182,Harlem,250000,8
3945095,Bedford-Stuyvesant,180000,4
56102650,Chelsea,80000,3
20290966,Ditmars Steinway,80000,4
5557259,Bedford-Stuyvesant,180000,4
19423855,Greenpoint,30000,2
26477830,Flushing,200000,7
14949120,Murray Hill,60000,2
2956478,Williamsburg,200000,4
53580296,Borough Park,250000,6
5019319,Midtown,250000,3
13444103,Upper West Side,210000,5
5878145,Flushing,200000,7
17133467,Two Bridges,40000,2
17861950,Greenwich Village,150000,3
52592784,East New York,150000,5
6068689,Upper East Side,200000,6
8703712,Williamsburg,200000,4
52844080,Canarsie,120000,4
23927309,East Village,110000,3
22576383,Washington Heights,170000,6
16958388,Williamsburg,200000,4
11630902,Upper East Side,200000,6
9589049,Upper West Side,210000,5
11263622,Flatlands,50000,3
52389537,Greenpoint,30000,2
6189090,Bedford-Stuyvesant,180000,4
51354527,Williamsburg,200000,4
26348592,Borough Park,250000,6
56837761,Bedford-Stuyvesant,180000,4
52752398,Crown Heights,200000,5
4745378,Bedford-Stuyvesant,180000,4
1127260,Roosevelt Island,15000,2
17141199,Flatiron District,50000,2
11935771,Clinton Hill,50000,3
4295253,Lower East Side,100000,3
11961730,Greenpoint,30000,2
19091370,East Flatbush,120000,5
18339690,Upper West Side,210000,5
3711472,Williamsburg,200000,4
3969396,Upper West Side,210000,5
9922086,Midtown,250000,3
8109437,Prospect-Lefferts Gardens,80000,4
50813273,Prospect-Lefferts Gardens,80000,4
25360528,Briarwood,80000,4
26635236,Cobble Hill,60000,2
5674346,Bedford-Stuyvesant,180000,4
53621719,Upper East Side,200000,6
25093767,Flatlands,50000,3
21060872,St. Albans,70000,3
26537479,East Village,110000,3
1947426,East Village,110000,3
14335515,Greenwich Village,150000,3
15440115,Upper West Side,210000,5
4690700,Windsor Terrace,30000,2
5181695,Hell's Kitchen,100000,3
19936942,Sheepshead Bay,100000,3
11217229,Bedford-Stuyvesant,180000,4
1392364,Bedford-Stuyvesant,180000,4
9407894,Upper West Side,210000,5
44300551,Hell's Kitchen,100000,3
54159106,Cobble Hill,60000,2
6202345,Williamsburg,200000,4
20979132,East Flatbush,120000,5
56626231,Concourse,80000,4
11833596,Williamsburg,200000,4
11965043,Bedford-Stuyvesant,180000,4
47542000,Williamsburg,200000,4
26232609,Rego Park,150000,4
14598410,Bushwick,120000,4
23708598,Fort Greene,70000,3
22833203,Financial District,40000,2
12985141,Harlem,250000,8
5447351,Washington Heights,170000,6
25756527,Long Island City,180000,6
3221582,Borough Park,250000,6
10805213,Upper West Side,210000,5
5996890,Mott Haven,80000,3
7743262,SoHo,120000,4
6745808,East Village,110000,3
46053552,Sunset Park,250000,6
18092260,Chinatown,100000,3
3120511,Williamsburg,200000,4
44449672,East Village,110000,3
15367764,Hell's Kitchen,100000,3
20991282,Williamsburg,200000,4
19723754,Bushwick,120000,4
8652348,Bushwick,120000,4
3265766,Fort Greene,70000,3
53077151,Washington Heights,170000,6
4848106,Astoria,250000,7
6926410,Sunset Park,250000,6
46994119,Greenpoint,30000,2
54478336,Astoria,250000,7
1394574,West Village,100000,2
50734846,West Village,100000,2
10209834,Harlem,250000,8
51658292,Bushwick,120000,4
15731729,Lower East Side,100000,3
20447267,Bushwick,120000,4
2838838,Williamsburg,200000,4
53969668,Williamsburg,200000,4
10261198,Boerum Hill,50000,2
9896680,East Harlem,120000,5
23914054,Financial District,40000,2
6988820,Upper West Side,210000,5
55623806,Sunnyside,120000,5
57195100,Briarwood,80000,4
20188790,Chinatown,100000,3
5877593,Upper West Side,210000,5
10645599,Flushing,200000,7
7247849,Carroll Gardens,40000,2
25393666,Upper West Side,210000,5
54523072,Upper East Side,200000,6
19676256,Bedford-Stuyvesant,180000,4
12916656,Lower East Side,100000,3
44650710,Lower East Side,100000,3
7363832,Harlem,250000,8
48055087,East Village,110000,3
49328138,Midtown,250000,3
13480002,Hell's Kitchen,100000,3
53995626,East Flatbush,120000,5
45777402,East New York,150000,5
48385915,Harlem,250000,8
3826903,Park Slope,150000,5
48615119,Ditmars Steinway,80000,4
21287315,Crown Heights,200000,5
48691889,Hell's Kitchen,100000,3
47092428,Park Slope,150000,5
11672324,Nolita,40000,2
26718633,Chelsea,80000,3
53343912,Williamsburg,200000,4
47548075,Williamsburg,200000,4
9301300,Upper East Side,200000,6
55427187,Kips Bay,50000,2
15300383,Chelsea,80000,3
18037030,Bedford-Stuyvesant,180000,4
22765270,Flatlands,50000,3
44757304,Williamsburg,200000,4
3578920,Park Slope,150000,5
1811560,West Village,100000,2
15860968,Brighton Beach,120000,5
18057465,Boerum Hill,50000,2
7678643,Hell's Kitchen,100000,3
26300542,Upper East Side,200000,6
48710115,East Village,110000,3
